Ancestry,max_shovel_i1,max_labial_i1,max_distal_c,max_metacone_m1,max_hypocone_m1,max_carabelli_m1,mand_deflect_m1,mand_proto_m1,mand_cusp5_m1,mand_cusp6_m1,mand_cusp7_m1
CAHA,0,2,3,5,5,3,0,0,0,0,0
CAHA,1,1,3,4,4,0,2,0,4,0,0
CAHA,1,0,4,5,6,3,0,1,5,0,1
NYHA,3,1,0,5,4,0,1,0,4,0,0
NYHA,3,1,5,5,5,4,3,1,4,0,0
NYHA,4,1,4,5,5,4,1,0,2,3,1
NYHA,5,0,99,5,4,5,0,1,4,0,0
NYHA,2,3,99,6,6,0,0,0,5,0,0
NYHA,0,3,2,5,6,5,0,0,4,2,3
NYHA,3,1,5,4,5,4,0,1,4,0,0
NYHA,3,1,2,5,5,6,0,0,5,0,0
NYHA,2,0,4,4,4,0,0,0,4,0,0
NYHA,1,1,2,4,3,0,0,0,3,3,0
NYHA,1,0,2,5,4,0,3,0,3,0,1
NYHA,1,1,3,5,4,5,2,0,3,0,1
NYHA,3,0,0,5,3,3,0,1,4,0,0
NYHA,4,2,3,4,3,2,99,0,4,0,0
NYHA,1,1,0,5,4,0,0,1,4,0,0
NYHA,3,0,5,5,4,0,0,1,4,0,0
NYHA,5,0,2,5,4,3,99,1,5,0,0
NYHA,3,0,99,5,5,5,2,1,5,0,0
NYHA,2,0,1,4,5,5,2,0,3,1,0
NYHA,3,0,1,4,5,5,0,1,4,0,0
NYHA,2,1,1,5,5,0,0,1,4,0,0
NYHA,3,1,5,4,5,0,0,0,4,2,0
NYHA,4,3,2,5,4,0,1,1,3,0,0
NYHA,1,2,0,4,4,4,0,1,4,0,0
NYHA,2,1,3,5,6,6,0,1,5,0,4
NYHA,2,0,2,5,5,1,2,0,3,0,0
NYHA,4,0,5,5,5,3,1,1,4,3,1
NYHA,0,1,2,6,5,4,0,0,4,0,0
NYHA,5,0,2,5,5,2,3,1,4,0,0
NYHA,2,2,3,4,4,2,1,1,3,0,0
NYHA,2,1,3,5,5,6,0,5,4,2,0
NYHA,1,0,4,4,5,6,1,0,3,2,1
NYHA,4,2,4,5,5,3,0,1,3,0,4
NYHA,3,2,3,5,4,2,3,0,4,0,0
NYHA,2,1,3,4,4,5,1,0,4,0,0
NYHA,1,0,2,5,5,0,1,0,4,0,0
NYHA,0,1,2,4,4,0,0,1,2,3,0
NYHA,4,2,5,5,5,0,0,1,4,3,3
NYHA,2,0,1,5,4,4,0,0,4,2,0
NYHA,1,1,3,5,4,0,0,0,3,0,0
NYHA,3,0,2,5,4,0,0,1,4,0,0
NYHA,1,1,2,4,5,0,0,0,3,0,2
NYHA,3,0,2,5,4,3,2,0,2,0,0
NYHA,1,0,3,5,4,0,1,0,3,0,0
NYHA,3,1,2,5,4,0,99,0,5,0,0
NYHA,1,1,0,5,5,0,99,99,99,99,99
NYHA,0,1,3,5,4,2,0,0,5,0,2
NYHA,0,1,3,5,4,0,0,0,4,0,0
NYHA,3,1,0,5,5,6,0,0,3,0,2
NYHA,99,1,3,99,99,5,1,1,4,0,0
NYHA,2,0,2,5,5,2,99,1,5,0,0
NYHA,2,2,2,5,4,2,99,0,4,0,0
NYHA,1,0,1,5,4,0,1,1,4,0,0
NYHA,4,2,1,5,4,0,0,0,4,1,0
NYHA,0,1,3,5,5,5,3,0,4,0,3
NYHA,0,1,1,4,4,0,0,1,5,0,99
NYHA,2,0,2,5,6,1,0,1,4,0,0
NYHA,1,1,4,5,6,5,0,0,4,0,0
NYHA,2,0,0,5,4,0,99,99,99,99,99
NYHA,1,0,0,6,3,3,0,4,4,0,0
NYHA,2,2,2,5,4,0,0,99,4,0,0
NYHA,0,0,3,5,5,7,1,2,4,0,0
NYHA,1,1,0,5,4,4,0,2,3,0,99
NYHA,3,1,3,5,5,3,2,1,4,0,0
NYHA,3,1,3,5,5,0,0,0,3,0,0
NYHA,3,2,3,5,5,3,99,0,4,0,99
NYHA,2,0,3,5,4,5,0,0,4,0,1
NYHA,2,2,3,5,4,4,99,1,4,0,0
NYHA,3,1,3,5,4,4,0,2,4,0,0
NYHA,1,0,1,5,5,4,99,1,4,0,0
NYHA,5,0,2,5,5,4,0,2,5,0,3
NYHA,1,0,1,5,5,4,0,0,0,0,1
NYHA,2,0,2,5,4,1,2,1,4,0,0
NYHA,2,2,1,4,5,0,99,1,4,0,99
NYHA,1,1,3,5,4,0,2,1,4,0,0
NYHA,4,0,2,5,4,0,0,1,4,0,0
NYHA,4,0,2,5,4,0,0,2,4,0,0
NYHA,1,0,1,5,5,0,0,0,4,0,0
NYHA,1,2,1,5,5,5,0,0,3,0,1
NYHA,1,1,99,5,5,0,0,1,2,0,1
NMHA,4,0,3,5,5,0,0,1,5,99,0
NMHA,1,0,0,4,4,0,99,99,4,0,1
NMHA,2,2,3,5,6,99,99,99,5,0,0
NMHA,4,0,3,5,4,4,2,1,5,0,1
NMHA,3,0,2,4,0,0,2,1,0,0,1
NMHA,2,1,0,5,5,0,0,0,5,0,1
NMHA,2,0,3,5,5,0,99,1,4,3,0
NMHA,2,1,2,5,5,0,0,1,3,0,0
NMHA,1,0,0,5,4,0,0,1,4,0,99
NMHA,2,0,0,5,5,6,0,0,5,0,0
NMHA,2,2,0,5,5,2,0,0,4,0,0
NMHA,3,0,2,5,4,0,2,0,4,0,0
NMHA,3,2,2,99,4,0,0,0,4,0,0
NMHA,2,1,2,5,5,5,99,0,4,0,99
NMHA,3,0,0,4,5,3,1,1,3,3,0
NMHA,4,0,4,5,6,0,0,0,4,0,0
NMHA,99,99,99,5,5,0,0,0,4,3,3
NMHA,2,1,4,6,5,2,3,0,3,2,0
NMHA,3,0,2,5,5,2,99,1,5,0,0
NMHA,3,0,2,5,5,0,2,0,5,0,1
NMHA,0,2,0,5,4,6,1,1,0,0,0
NMHA,3,0,0,5,4,3,0,1,5,0,3
NMHA,2,1,99,5,5,4,3,0,5,0,1
NMHA,1,1,1,6,5,0,99,0,4,2,99
NMHA,2,1,2,5,5,0,0,1,4,0,0
NMHA,1,2,0,5,99,3,0,0,4,0,0
NMHA,1,2,2,4,5,5,0,0,5,0,0
NMHA,2,1,99,4,5,5,0,1,5,0,1
NMHA,1,0,2,5,6,6,3,1,5,0,1
NMHA,3,1,2,5,4,2,0,1,5,0,0
NMHA,2,0,2,5,6,7,1,1,4,0,0
NMHA,2,1,3,5,4,2,1,1,4,0,1
NMHA,3,0,3,5,5,5,1,1,5,0,0
NMHA,1,0,3,5,5,0,0,0,0,0,0
NMHA,2,1,3,5,5,5,0,1,4,0,0
NMHA,1,2,2,5,5,7,0,1,4,1,0
NMHA,2,0,0,5,5,5,1,0,4,2,2
NMHA,3,0,0,5,5,0,0,1,4,0,1
NMHA,1,0,4,5,5,5,0,1,5,0,0
NMHA,2,0,3,5,5,4,0,1,3,2,0
NMHA,0,0,3,5,5,6,1,0,4,0,0
NMHA,1,2,99,5,6,5,0,0,99,99,0
NMHA,3,1,5,5,4,3,99,1,4,3,0
NMHA,5,0,0,6,5,3,99,99,99,99,99
NMHA,3,0,3,5,4,6,0,1,5,0,0
NMHA,2,1,4,5,4,2,0,1,4,0,0
NMHA,2,0,5,5,5,2,3,1,4,0,0
NMHA,1,1,3,5,5,3,0,0,5,0,1
NMHA,2,1,4,5,4,0,99,1,5,0,0
NMHA,1,1,2,5,4,0,1,0,0,0,0
NMHA,0,1,0,5,4,4,0,1,3,3,0
NMHA,3,1,0,5,5,2,99,1,4,0,0
NMHA,2,0,2,4,5,4,99,0,5,2,0
NMHA,1,0,2,5,5,5,0,1,4,0,0
NMHA,1,1,0,5,5,4,0,0,5,0,0
NMHA,2,0,0,5,4,4,99,99,99,99,99
NMHA,2,1,3,5,4,2,0,1,5,0,0
NMHA,4,0,5,5,5,1,0,0,0,0,0
NMHA,2,1,2,5,4,0,99,0,5,0,0
NMHA,2,1,2,5,4,0,99,99,99,99,99
NMHA,2,0,99,5,5,3,0,1,5,0,0
NMHA,1,1,3,5,5,99,0,99,5,0,0
NMHA,1,2,2,5,5,4,0,1,4,0,0
NMHA,2,0,5,6,4,2,99,1,5,0,0
NMHA,2,0,0,6,5,4,0,1,5,0,1
NMHA,1,1,0,5,5,6,0,0,3,0,0
NMHA,2,1,3,5,5,5,0,0,4,2,2
NMHA,2,1,2,5,5,7,2,0,5,0,0
NMHA,3,0,3,5,4,4,0,1,4,3,0
NMHA,2,0,0,5,4,3,0,0,5,0,0
NMHA,2,1,3,5,5,7,0,0,4,0,0
NMHA,1,0,3,5,5,0,0,1,5,0,1
NMHA,1,2,2,5,5,5,0,1,2,2,0
NMHA,1,0,4,5,5,3,0,0,4,0,0
NMHA,1,1,3,5,5,6,0,1,4,0,1
NMHA,1,0,0,5,6,5,0,1,2,0,0
NMHA,3,2,2,5,5,5,1,1,3,0,0
NMHA,2,1,2,4,5,3,0,0,4,2,0
NMHA,2,3,3,5,5,3,1,1,5,0,4
NMHA,1,1,0,5,5,0,0,99,4,0,0
NMHA,1,0,3,4,4,2,99,1,3,0,0
NMHA,2,2,0,5,5,0,0,1,5,0,0
NMHA,4,0,3,5,6,5,0,0,4,0,0
NMHA,4,0,99,6,6,6,1,0,4,3,0
NMHA,3,0,3,5,5,0,1,0,5,0,0
NMHA,3,0,3,5,5,0,99,99,99,99,99
NMHA,3,1,3,5,5,5,1,1,5,0,0
NMHA,1,1,0,4,5,5,0,0,4,3,0
NMHA,1,1,3,5,5,5,0,0,4,0,0
NMHA,3,1,3,5,5,0,2,1,4,3,0
NMHA,1,1,2,5,5,0,2,0,5,0,0
SFHA,2,0,1,5,5,0,0,0,4,2,1
SFHA,4,0,4,5,4,3,2,0,4,2,2
SFHA,1,2,3,5,5,5,0,0,5,0,2
SFHA,4,0,99,5,5,3,0,0,5,0,0
SFHA,0,1,0,5,5,3,99,1,5,0,0
SFHA,1,0,4,5,5,5,0,0,0,0,0
SFHA,1,1,1,5,0,0,0,0,4,0,0
SFHA,99,3,3,5,4,1,99,99,99,99,99
SFHA,99,3,3,5,4,1,99,99,99,99,99
SFHA,2,2,0,5,6,5,99,1,5,0,0
SFHA,3,2,3,5,5,3,2,0,5,0,0
SFHA,1,1,99,4,5,0,99,99,99,99,99
SFHA,2,2,3,5,6,6,99,0,4,0,1
SFHA,5,0,99,5,5,6,2,0,4,3,0
SFHA,3,0,2,5,4,3,99,1,5,0,1
SFHA,3,1,2,5,5,4,1,0,4,0,1
SFHA,1,1,0,5,4,0,0,0,4,0,0
SFHA,2,0,0,5,5,2,0,0,3,0,0
SFHA,3,0,2,5,5,0,99,0,99,99,1
SFHA,0,2,99,5,6,7,0,4,5,0,0
SFHA,1,2,0,5,4,0,99,0,3,0,0
SFHA,2,0,0,5,5,3,0,0,5,0,0
SFHA,2,2,2,6,4,0,0,1,4,0,99
SFHA,2,0,0,5,5,5,99,99,99,99,99
SFHA,2,1,0,5,5,6,0,0,4,0,1
SFHA,1,1,0,4,5,0,0,0,3,3,0
SFHA,2,1,99,4,5,2,0,0,4,0,0
SFHA,1,3,0,5,5,0,0,0,4,0,1
SFHA,0,2,0,6,5,4,0,0,4,0,1
SFHA,2,1,4,5,5,6,0,0,5,99,0
SFHA,1,1,3,5,5,2,0,0,4,0,1
SFHA,4,1,1,5,4,4,0,1,5,0,1
SFHA,2,0,3,5,99,4,0,1,4,0,1
SFHA,2,2,0,5,5,3,0,0,4,0,1
SFHA,4,0,2,5,5,2,1,1,5,0,1
SFHA,1,2,2,5,5,3,0,0,4,0,0
SFHA,1,2,1,5,5,99,1,0,99,99,0
SFHA,4,0,4,5,4,1,2,1,2,0,1
SFHA,2,1,1,5,5,3,0,0,4,3,1
SFHA,3,2,2,5,4,0,2,0,3,3,0
SFHA,3,0,3,5,5,4,99,99,99,99,99
SFHA,3,1,1,5,5,3,1,0,5,0,0
SFHA,3,1,0,5,6,5,1,1,5,0,3
SFHA,2,1,0,5,4,2,1,0,3,0,0
SFHA,99,99,99,99,99,99,1,0,3,0,0
SFHA,2,1,1,4,5,99,0,99,3,0,0
SFHA,2,1,3,5,5,0,0,0,5,0,1
SFHA,1,1,2,4,5,5,1,0,4,3,1
SFHA,1,1,4,5,5,7,0,0,5,0,1
SFHA,1,2,2,4,5,3,1,0,4,0,1
SFHA,2,1,2,5,6,4,0,0,5,0,1
SFHA,1,1,0,5,5,0,99,0,99,0,99
SFHA,1,2,2,5,6,7,99,99,3,0,0
SFHA,2,1,2,5,5,5,0,99,99,99,1
SFHA,1,2,0,5,4,5,0,0,5,0,1
SFHA,3,1,2,5,5,4,1,0,5,2,1
SFHA,1,0,0,5,5,0,0,1,1,0,0
SFHA,0,2,2,5,4,99,0,99,0,0,0
SFHA,2,1,2,5,5,3,0,0,2,0,0
SFHA,3,1,2,6,5,0,1,99,5,2,0
SFHA,2,1,0,4,99,99,0,0,5,0,1
SFHA,2,2,0,5,5,3,99,1,5,0,99
SFHA,3,1,5,4,5,0,0,1,5,0,0
SFHA,1,0,0,5,5,0,1,0,4,0,1
SFHA,4,0,99,5,5,2,99,99,99,99,99
SFHA,1,1,5,5,5,0,2,0,5,0,0
SFHA,1,1,3,5,99,2,0,0,3,0,99
SFHA,2,1,1,5,5,2,0,0,5,0,0
SFHA,2,0,5,5,5,0,0,0,4,0,1
SFHA,0,2,0,5,5,7,0,0,5,2,1
SFHA,1,1,2,5,6,1,99,99,99,99,99
SFHA,2,1,2,6,4,0,0,0,5,0,0
SFHA,3,0,0,5,5,4,0,0,5,0,1
SFHA,4,1,3,6,5,4,0,1,4,0,1
SFHA,99,99,99,99,99,99,0,1,4,0,1
SFHA,3,2,99,5,5,1,0,1,5,0,1
SFHA,2,1,99,6,5,2,0,1,5,0,1
SFHA,2,1,0,5,5,1,0,0,3,0,0
SFHA,3,1,1,5,4,5,0,0,5,0,0
SFHA,3,1,3,5,6,3,0,0,5,0,0
SFHA,3,0,0,6,6,1,0,0,5,0,1
SFHA,2,1,2,5,5,2,0,0,5,0,1
SFHA,2,1,3,5,5,0,0,1,5,1,1
SFHA,2,1,5,5,5,3,0,0,4,2,0
SFHA,5,0,3,5,3,0,1,0,4,3,0
SFHA,4,1,5,6,6,99,0,99,5,0,4
SFHA,1,1,2,5,5,3,0,0,1,0,0
SFHA,0,1,99,5,5,0,0,0,5,0,0
SFHA,4,0,0,6,5,4,2,1,5,2,1
SFHA,4,1,4,5,5,3,0,1,5,2,0
SFHA,1,1,1,5,5,3,0,0,5,0,0
SFHA,1,1,2,5,5,0,0,0,5,0,0
SFHA,0,1,99,5,4,0,1,0,5,0,0
SFHA,2,1,3,4,4,0,0,0,4,0,1
SFHA,4,0,4,6,6,4,0,6,4,2,1
SFHA,3,1,0,5,4,2,1,0,5,0,0
SFHA,2,1,0,5,5,3,0,0,5,1,1
SFHA,2,1,2,99,99,0,0,0,4,0,0
SFHA,2,0,3,5,5,0,0,0,5,0,2
SFHA,3,0,3,5,4,5,0,0,5,0,0
SFHA,1,99,2,5,5,3,99,1,5,2,1
SFHA,2,1,99,5,5,4,0,0,5,0,3
SFHA,2,1,3,5,5,0,99,0,5,99,99
SFHA,3,0,4,4,5,5,0,0,5,2,0
SFHA,1,1,4,5,5,4,0,0,5,0,1
SFHA,1,1,1,5,6,0,0,0,4,0,1
SFHA,5,0,4,5,4,0,0,2,5,0,0
SFHA,1,1,99,5,5,4,2,2,5,0,1
SFHA,2,0,2,5,5,4,0,1,1,0,0
SFHA,3,0,3,5,5,6,2,99,5,0,3
SFHA,2,2,0,5,6,4,1,0,5,0,3
SFHA,2,3,3,5,5,6,0,0,5,0,0
SFHA,1,1,2,5,5,5,99,1,0,0,1
SFHA,1,0,2,5,4,0,0,0,2,0,1
SFHA,2,0,2,5,6,3,1,1,3,2,1
SFHA,2,1,2,5,5,0,0,1,0,0,0
SFHA,1,1,0,5,5,5,0,1,5,0,1
SFHA,3,3,2,5,5,4,0,0,5,0,99
SFHA,1,1,1,5,5,5,0,1,5,0,99
SFHA,1,1,3,5,6,2,0,0,5,0,2
SFHA,1,1,3,5,5,3,0,1,5,0,0
SFHA,2,1,0,5,5,2,99,0,99,99,99
SFHA,5,0,3,5,6,4,0,0,5,1,2
SFHA,2,1,3,5,4,4,0,0,4,2,1
SFHA,1,0,0,5,5,7,2,1,4,1,1
SFHA,3,1,5,6,5,3,2,0,5,2,1
SFHA,2,0,0,5,5,0,0,1,5,0,0
SFHA,1,1,3,5,5,0,0,0,5,0,0
SFHA,3,3,4,5,5,4,2,3,5,0,1
SFHA,1,1,2,5,5,6,2,0,5,0,0
SFHA,1,2,0,5,6,3,0,0,3,2,1
SFHA,1,2,2,5,5,6,99,1,5,0,0
SFHA,0,0,1,4,5,5,0,0,4,0,0
SFHA,2,0,1,5,5,0,0,0,5,0,1
SFHA,1,0,0,5,5,0,0,0,4,0,1
SFHA,5,0,5,5,5,0,99,1,3,3,2
SFHA,1,2,0,5,5,0,0,0,5,0,0
SFHA,3,0,0,4,99,0,0,0,4,3,99
SFHA,1,0,0,5,6,3,1,1,5,0,1
SFHA,3,0,3,4,5,3,0,0,5,2,1
SFHA,2,1,1,5,5,0,0,0,5,3,3
SFHA,0,1,2,5,5,4,0,1,5,0,2
SFHA,2,0,2,5,5,2,0,0,4,0,1
SFHA,2,2,3,5,5,0,1,0,4,0,0
SFHA,0,0,2,5,5,2,0,0,5,0,0
SFHA,0,2,0,5,5,0,2,0,5,0,1
SFHA,0,1,0,5,5,5,0,0,0,0,0
SFHA,3,0,0,5,5,2,0,1,5,1,0
SFHA,2,2,4,5,5,0,99,0,0,0,99
SFHA,2,0,2,5,5,3,99,0,4,99,0
SFHA,1,2,0,5,4,4,0,1,5,0,99
SFHA,3,1,3,6,5,4,0,0,5,0,3
SFHA,3,0,3,6,5,0,0,0,5,2,1
SFHA,1,1,0,5,5,0,0,0,5,0,1
SFHA,3,1,2,5,5,4,0,1,5,0,1
SFHA,3,0,0,5,4,0,0,0,4,0,1
SFHA,2,2,1,6,6,7,0,3,4,3,1
SFHA,2,1,2,5,5,5,0,0,5,0,0
SFHA,99,2,0,5,5,7,0,1,4,0,99
SFHA,99,99,2,5,6,7,1,0,2,0,2
SFHA,2,1,4,4,6,4,99,99,5,0,99
SFHA,2,0,4,5,4,3,3,0,5,0,1
SFHA,1,0,0,5,5,99,1,0,0,0,0
SFHA,1,0,1,5,5,0,0,0,5,0,1
SFHA,1,1,0,4,5,7,0,1,5,0,0
SFHA,1,2,2,5,5,2,0,0,4,3,2
SFHA,1,1,0,5,5,4,0,1,5,0,0
SFHA,2,0,3,4,4,2,0,0,5,0,0
SFHA,1,1,99,4,5,0,0,0,5,0,2
SFHA,2,0,2,5,5,4,2,1,5,0,0
SFHA,1,1,2,5,6,0,0,0,5,0,0
SFHA,1,1,4,5,5,4,0,0,5,1,1
SFHA,1,2,2,5,5,5,99,0,4,1,4
SFHA,2,2,2,5,4,0,0,0,5,0,2
SFHA,2,1,2,5,5,4,1,0,3,2,1
SFHA,2,1,2,5,5,4,0,0,5,0,1
SFHA,3,0,2,5,5,0,2,0,4,0,0
SFHA,2,1,2,5,6,5,0,1,5,0,1
SFHA,1,1,3,4,5,5,0,0,5,2,2
SFHA,2,0,4,5,5,2,0,0,5,0,2
SFHA,0,0,0,5,5,0,0,0,5,2,1
SFHA,1,1,3,5,5,0,0,0,5,0,1
SFHA,1,1,0,4,5,3,0,0,4,2,0
SFHA,2,1,99,5,5,99,2,5,3,2,1
SFHA,5,0,0,5,5,0,2,0,5,0,4
SFHA,4,0,5,5,5,3,0,0,5,0,1
SFHA,1,1,4,5,5,3,0,0,5,0,0
SFHA,1,1,0,5,4,4,0,0,5,0,0
SFHA,1,2,0,4,5,0,0,0,5,0,0
SFHA,0,1,4,5,99,0,0,99,5,0,1
SFHA,2,1,0,4,5,2,0,0,5,0,0
SFHA,2,0,3,5,5,0,0,0,5,0,1
SFHA,2,1,1,5,5,5,0,0,5,0,2
SFHA,3,2,4,5,6,2,0,1,1,0,1
SFHA,1,1,0,5,6,4,0,1,5,0,0
SFHA,2,2,2,5,5,6,2,0,5,2,1
SFHA,2,0,4,6,4,0,0,1,3,0,0
SFHA,0,1,3,5,5,7,0,0,5,0,2
SFHA,2,2,0,6,6,4,0,0,3,0,1
SFHA,3,0,0,5,1,0,0,0,5,0,0
SFHA,3,1,0,5,5,1,2,1,5,0,1
SFHA,1,1,0,4,4,4,2,0,5,0,1
NYAA,0,1,99,5,4,0,0,0,3,0,3
NYAA,3,2,3,5,5,3,0,0,5,0,0
NYAA,1,2,4,5,4,5,0,0,4,0,0
NYAA,0,2,4,6,5,4,1,0,4,0,0
NYAA,1,1,3,5,4,5,1,0,3,0,0
NYAA,2,0,3,4,5,4,0,0,5,0,0
NYAA,1,2,2,6,4,0,0,0,3,0,1
NYAA,2,1,99,4,4,0,0,1,4,0,0
NYAA,2,1,2,4,5,4,1,0,4,0,1
NYAA,0,2,3,5,4,0,1,0,5,0,0
NYAA,3,1,0,5,4,2,2,0,0,0,2
NYAA,1,1,5,5,5,2,0,0,5,0,0
NYAA,3,1,2,4,5,0,99,99,4,3,99
NYAA,99,99,99,5,5,4,0,0,5,2,2
NYAA,0,2,5,6,5,4,0,0,4,0,4
NYAA,0,1,2,5,5,0,3,0,3,1,1
NYAA,1,1,5,5,5,5,0,0,3,0,3
NYAA,2,0,1,6,6,0,0,99,5,0,0
NYAA,1,0,2,4,4,2,99,0,4,0,99
NYAA,2,1,4,5,4,5,99,1,5,0,0
NYAA,0,1,0,5,6,5,0,1,4,0,0
NYAA,0,1,1,5,6,6,0,0,4,0,4
NYAA,1,1,1,5,5,0,0,0,4,0,0
NYAA,2,1,5,5,4,2,0,0,4,0,0
NYAA,1,1,5,5,4,99,0,99,4,0,3
NYAA,1,1,3,6,4,2,0,0,5,0,2
NYAA,1,1,2,5,6,2,0,0,4,0,0
NYAA,1,1,1,4,5,5,0,0,4,3,4
NYAA,1,1,4,5,4,4,0,0,4,0,0
NYAA,2,1,1,5,5,0,0,0,5,0,0
NYAA,1,0,4,5,3,0,3,1,3,2,0
NYAA,0,2,2,5,5,3,0,1,2,0,4
NYAA,99,1,1,5,6,4,0,0,4,0,1
NYAA,0,0,2,5,5,6,0,0,4,0,0
NYAA,2,1,3,5,4,5,0,1,3,2,0
NYAA,0,1,3,5,5,3,0,0,5,0,4
NYAA,2,1,2,4,6,7,0,0,4,0,1
NYAA,2,3,4,5,5,2,0,0,4,0,0
NYAA,4,0,99,5,4,0,99,0,4,0,0
NYAA,2,1,3,5,4,2,0,0,3,0,0
NYAA,0,1,0,6,6,0,0,0,5,0,4
NYAA,2,1,2,6,4,0,0,0,5,0,1
NYAA,1,1,2,5,4,0,1,1,4,0,0
NYAA,2,2,0,6,5,0,0,1,5,0,3
NYAA,1,0,2,6,5,5,0,0,5,2,1
NYAA,0,1,0,5,5,2,0,0,4,0,0
NYAA,2,0,4,5,5,5,0,0,4,0,0
NYAA,2,1,99,5,5,2,0,0,4,0,0
NYAA,4,1,0,5,4,2,0,0,4,1,3
NYAA,1,1,2,5,4,4,2,0,3,0,1
NYAA,2,1,0,5,4,4,0,1,4,0,0
NYAA,0,1,1,5,5,0,2,1,4,0,0
NYAA,2,3,0,4,5,0,99,1,4,0,3
NYAA,1,1,2,5,4,3,0,1,3,0,0
NYAA,1,1,2,5,5,4,2,0,5,0,0
NYAA,0,2,0,5,5,0,0,0,4,0,1
NYAA,2,0,2,5,4,0,0,0,3,0,1
NYAA,99,1,0,4,4,0,1,1,4,0,4
NYAA,1,2,2,5,4,3,1,0,5,0,2
NYAA,1,1,0,5,5,2,99,0,4,0,0
NYAA,1,0,3,5,5,3,2,0,5,0,3
NYAA,2,1,3,5,5,0,2,0,4,0,0
NYAA,1,1,2,5,4,0,0,1,4,0,0
NYAA,0,1,2,5,4,0,99,0,5,0,99
NYAA,2,2,2,5,5,2,99,1,5,0,99
NYAA,0,1,4,5,4,4,3,0,4,0,2
